id,question,subject,difficulty,marks,year,units
975," 1) For a given graph G1
        a) Find a Hamiltonian path that begins at A and ends at E.
        b) Find a Hamiltonian circuit that starts at A and ends with the pair of vertices E, A
        c) Find a Hamiltonian path that begins at F and ends at G.
      2) For a given graph G2 find Eulerian path and Eulerian cycle",Discrete Mathematics,Easy,06,Second,Unit 2
976,"Find a shortest path between vertices a and z in the given graph using Dijkstra shortest path algorithm.",Discrete Mathematics,Easy,06,Second,Unit 2
977,"For the following maps
    1) Draw the planar graph
    2) Color the vertices of graph.
    3) Find the chromatic number",Discrete Mathematics,Easy,06,Second,Unit 3
978,"Find shortest path between a to z by Dijkstr’a Method.",Discrete Mathematics,Medium,06,Second,Unit 3
979,"Determine whether the given graph has an Euler circuit. Construct such a circuit when one exists. If no Euler circuit exists, determine whether the graph has an Euler path and construct such a path if one exists.",Discrete Mathematics,Hard,06,Second,Unit 3
980,"Draw the following graphs.
    a) K7 b) K1,8 c) K4,4 d) C7 e) W7 f ) Q4",Discrete Mathematics,Easy,06,Second,Unit 3
981,"Use paths either to show that these graphs are not isomorphic or to find an isomorphism between them.",Discrete Mathematics,Medium,06,Second,Unit 3
982,"Use Dijkstra’s algorithm to find the length of a shortest path between the vertices 1 and 4 in the weighted graph displayed in Figure below.",Discrete Mathematics,Hard,06,Second,Unit 3
983,"Define the terms: Simple Path, Null Graph, Complete Graph, Planner Graph. Find the Hamiltonian path and Hamiltonian circuit in the complete graph K4,3.",Discrete Mathematics,Easy,06,Second,Unit 3
984,"Compute the shortest distance between source A to destination E using Dijkstra’s algorithm for the following graph.",Discrete Mathematics,Medium,06,Second,Unit 3
985,"i. Write a Handshaking Lemma for a graph having Vertices V = (G, E) and Edges E.
    ii. How many edges are there in a graph with 10 vertices each of degree six?
    iii. Define Chromatic Number with suitable example.",Discrete Mathematics,Hard,06,Second,Unit 3


986,"Define the following with reference to tree with example
     a) Level and Height of a tree
     b) M-ary tree
     c) Fundamental Cut Sets",Discrete Mathematics,Hard,06,Second,Unit 4
987,"Construct a minimum spanning tree (MST) for the given graph using Kruskal’s.",Discrete Mathematics,Medium,06,Second,Unit 4
988,"Show that a tree with n vertices has n-1 edges",Discrete Mathematics,Easy,06,Second,Unit 4
989,"Define Rooted tree, Balanced Tree and Binary search tree. Explain with example",Discrete Mathematics,Easy,06,Second,Unit 4
990,"Find Minimum spanning tree for following graph by Prim’s Algorithm.",Discrete Mathematics,Medium,06,Second,Unit 4
991,"Find Minimum spanning tree for following graph by using Kruskal’s algorithm.",Discrete Mathematics,Hard,06,Second,Unit 4
992,"Use Huffman’s algorithm to provide an optimal average-bit-length code for the probability distribution a: 0.2, b: 0.2, c: 0.15, d: 0.15, e: 0.15, f: 0.1, and g:0.05. Draw a binary tree to find the prefix code for for each probability distribution and compute the average bit-length of a codeword.",Discrete Mathematics,Hard,06,Second,Unit 4
993,"Use Kruskal’s algorithm to find a minimum spanning tree for the weighted graph in the Figure below.
    (i) What is the value of each of the prefix expressions + − ↑ 3 2 ↑ 2 3 / 6 − 4 2?
    (ii) What is the value of each of the postfix expressions 3 2 ∗ 2 ↑ 5 3 − 8 4 / ∗ −?",Discrete Mathematics,Hard,06,Second,Unit 4
994,"Define Euler graph and Hamiltonian Graph.
    i)For a given graph G :
     (a) Find a Hamiltonian path that begins ar A and ends at E.
     (b) Find a Hamiltonian circuit that starts at A and ends with the pair of vertices E,A.
     (c) Find a Hamiltonian path that begins at F and ends at G.",Discrete Mathematics,Medium,06,Second,Unit 4
995,"Consider the following rooted tree and give the answer for following:
  (i) Find the ancestor of f.
  (ii) Find the Descendant of j.
  (iii) How many terminal vertices are there?
  (iv) Draw the subtree rooted at e.
  (v) Find the siblings of g.
  (vi) Write the internal vertices of the tree.",Discrete Mathematics,Medium,06,Second,Unit 4
996,"Use Prim’s algorithm and Kruskal’s to find a minimum spanning tree in the graph shown in Figure.",Discrete Mathematics,Easy,06,Second,Unit 4


997,"Define the following terms
     1. Algebraic structures 2. Semi Group 3. Monoids 4. Ring 5. Field 6. Group",Discrete Mathematics,Easy,06,Second,Unit 5
998,"For each of following, determine whether the binary operations * is commutative or associative?
    i) N is the set of natural numbers and a*b=a+b+2 for all a,b from N
    ii) on N where a*b=min (a, b+2)
    iii) on R where a*b=ab",Discrete Mathematics,Medium,06,Second,Unit 5
999,"Determine whether (Z, +, *) is a ring with the binary operations x + y = x + y-7 And x*y =x + y -3xy for all x, y ∈ Z",Discrete Mathematics,Medium,06,Second,Unit 5
1000,"Define Semigroup, Monoid and Group. Explain with example",Discrete Mathematics,Easy,06,Second,Unit 5
1001,"Let (G,⊕ ) is an algebraic system where G={ 1101, 0000, 1001,0100} prove that (G,⊕ ) is a group.",Discrete Mathematics,Hard,06,Second,Unit 5
1002,"Define Ring . Prove that An algebraic system (Z, + , ·) is a ring, where + is addition and · means multiplication operation. i.e. a + b as the sum of a and b in Z, and a · b as the product of a and b in Z.",Discrete Mathematics,Hard,06,Second,Unit 5
1003,"Consider the binary operation defined on the set A = {a, b, c, d} by following table.
    Find:  * a b c d
           a a c b d
           b d a b c
           c c d a a
           d d b a c
    (i) c * d and d * c
    (ii) b * d and d * b
    (iii) a * (b * c) and (a * b) * c",Discrete Mathematics,Medium,06,Second,Unit 5
1004,"Consider the group G = {1, 2, 4, 7, 8, 11, 13, 14} under multiplication modulo 15.
     i) Find multiplication table of G.
     ii) Find 2^-1, 7^-1.
     iii) Find the orders and subgroups generated by 7 and 11.",Discrete Mathematics,Hard,06,Second,Unit 5
1005,"Define the following terms.
     i)Algebraic Structures ii) Semi Groups iii) Monoids iv) Ring v) Field vi) Group",Discrete Mathematics,Easy,06,Second,Unit 5
1006,"For each of the following, determine whether the binary operation * is commutative or associative?
     i) Nisthesetof naturalnumbersanda* b=a*b+2 fora, b GN ii) On N where a * b: min(4 b+2) iii) OnRwherea*b:ab",Discrete Mathematics,Medium,06,Second,Unit 5
1007,"Show that a tree with n vertices has n-l edges.",Discrete Mathematics,Easy,06,Second,Unit 5
1008,"Construct the rninimum spanning tree (MST) for the given graph using Kruskal's Algorithm.",Discrete Mathematics,Easy,06,Second,Unit 5



1009,"What is Algorithm? Explain criteria of Algorithms.",Design & Analysis of Algorithms,Easy,06,Second,Unit 1
1010,"What is Asymptotic Notations? Explain any three Asymptotic Notations.",Design & Analysis of Algorithms,Medium,06,Second,Unit 1
1011,"Define Max and Min Heap and write algorithm to insert into a heap.",Design & Analysis of Algorithms,Easy,06,Second,Unit 1
1012,"Solve the following recurrences using Master Theorem.
      (i) T (n) = 16T(n/4) + n.
     (ii) T (n) = T (2n/3) + 1
     (iii) T(n) = 3T(n/4) + n log n",Design & Analysis of Algorithms,Hard,06,Second,Unit 1
1013,"What are different asymptotic notations? Explain with neat graphs. If f(n) =sqrt (n) and g(n)=n then prove that f(n) is Og(n).",Design & Analysis of Algorithms,Medium,06,Second,Unit 1
1014,"What are the different properties of algorithm ? Which factors affect runtime of an algorithm ?",Design & Analysis of Algorithms,Hard,06,Second,Unit 1


1015,"Write algorithm for Binary Search and calculate its time complexity.",Design & Analysis of Algorithms,Easy,06,Second,Unit 2
1016,"Explain Quick Sort algorithm with its performance analysis.",Design & Analysis of Algorithms,Medium,06,Second,Unit 2
1017,"Explain Strassen’s Matrix Multiplication.",Design & Analysis of Algorithms,Hard,06,Second,Unit 2
1018,"What is best case and worst case time complexity for Merge Sort ? Apply Merge Sort on following array.
       A = { 13, 4, 22, 1,16, 9,0,2}",Design & Analysis of Algorithms,Easy,06,Second,Unit 2
1019,"Distinguish between Divide and Conquer and Dynamic programming approach .",Design & Analysis of Algorithms,Medium,06,Second,Unit 2

1020,"Draw a state space tree for finding Four Queens problems solution.",Design & Analysis of Algorithms,Easy,06,Second,Unit 3
1021,"Describe Graph Coloring Problem with suitable example",Design & Analysis of Algorithms,Medium,06,Second,Unit 3
1022,"Explain Branch and Bound with suitable example.",Design & Analysis of Algorithms,Hard,06,Second,Unit 3
1023,"Caculate shortest path from node S to all nodes for following graph using Dijkstra’s algorithm.",Design & Analysis of Algorithms,Easy,06,Second,Unit 3
1024,"Apply greedy approach to solve following fractional knapsack problem if capacity of knapsack is 60 kg. Calculate maximum profit.",Design & Analysis of Algorithms,Medium,06,Second,Unit 3
1025,"Apply Huffman Coding algorithm on following data. Write the code for each character using Huffman Coding algorithm.",Design & Analysis of Algorithms,Hard,06,Second,Unit 3


1026,"Find an optimal solution to the knapsack instance n = 7, m = 15, (P1 ,P2, P3,P4 P5 ,P6 P7 ) = (10,5,15,7,6,18,3), and (w1, w2, w3, w4, w5, w6, w7) =(2,3,5,7,1,4,1).",Design & Analysis of Algorithms,Easy,06,Second,Unit 4
1027,"What is Minimum Cost Spanning Tree? Explain with suitable example.",Design & Analysis of Algorithms,Medium,06,Second,Unit 4
1028,"Explain Job Sequencing with Deadlines.",Design & Analysis of Algorithms,Hard,06,Second,Unit 4
1029,"Apply Floyd Warshall’s algorithm on following graph.",Design & Analysis of Algorithms,Easy,06,Second,Unit 4
1030,"Determine Longest Common Subsequence between X and Y if X=< x m j y a u z> and Y= <m z j a w x u>.",Design & Analysis of Algorithms,Hard,06,Second,Unit 4
1031,"Explain the following terms.
     (i) P -problem (ii) NP problem (iii)NP complete problem",Design & Analysis of Algorithms,Medium,06,Second,Unit 4


1032,"Analyze Floyd Warshals algorithm for Dynamic Programming.",Design & Analysis of Algorithms,Easy,06,Second,Unit 5
1033,"Explain complexity class P and complexity class NP.",Design & Analysis of Algorithms,Medium,06,Second,Unit 5
1034,"Differentiate between Dynamic Programming and Greedy Algorithm.",Design & Analysis of Algorithms,Hard,06,Second,Unit 5
1035,"How 4 –Queens problem is solved by backtracking approach ? Draw state space tree for 4- Queens problem?",Design & Analysis of Algorithms,Easy,06,Second,Unit 5
1036,"Solve the following travelling salesman problem using branch and bound approach.
     [1,1]= infinity,[1,2]=20 ,[1,3]= 30,[1,4]=10 ,[1,5]=11 ,
     [2,1]=15,[2,2]=infinity,[2,3]=30,[2,4]=10,[2,5]=11,
    [3,1]=3,[3,2]=5,[3,3]= infinity,[3,4]=2,[3,5]=4,
    [4,1]=19,[4,2]= 6,[4,3]= 18,[4,4]= infinity,[4,5]= 3,
    [5,1]=16,[5,2]=4,[5,3]= 7,[5,4]= 16,[5,5]= infinity ",Design & Analysis of Algorithms,Hard,06,Second,Unit 5
1037,"Compare and contrast backtracking and branch and bound approach.",Design & Analysis of Algorithms,Medium,06,Second,Unit 5



1038,"Describe memory layout of multiprogramming operating system. State its advantages.",Operating Systems,Easy,06,Second,Unit 1
1039,"Discuss design goals, polies and implementation of a typical operating system.",Operating Systems,Medium,06,Second,Unit 1
1040,"Explain Virtual Machine (VM) based structure of operating system.",Operating Systems,Hard,06,Second,Unit 1
1041,"List out different services of Operating Systems and Describe each service.",Operating Systems,Easy,06,Second,Unit 1
1042,"What are system calls? Explain different categories of system calls with example?",Operating Systems,Medium,06,Second,Unit 1
1043,"Describe different sub-components of an operating system.",Operating Systems,Hard,06,Second,Unit 1
1044,"Write a Short Note on the following:
     a) Real-time Embedded System
     b) Advantages of Multiprocessor System",Operating Systems,Easy,06,Second,Unit 1
1045,"Explain the storage system hierarchy of operating system with neat diagram.",Operating Systems,Medium,06,Second,Unit 1
1046,"Explain operating services with respect to programs and users.",Operating Systems,Hard,06,Second,Unit 1
1047,"Explain Real time operating system with its types, advantages and examples.",Operating Systems,Easy,06,Second,Unit 1
1048,"Explain microkernel type operating system structure.",Operating Systems,Medium,06,Second,Unit 1


1050,"Describe the contents of Process Control Block (PCB).",Operating Systems,Easy,06,Second,Unit 2
1051,"Explain the role of long term, short term and middle term scheduler in process scheduling.",Operating Systems,Medium,06,Second,Unit 2
1052,"Consider the following data with burst time given in milliseconds:
      Process    Burst Time   Priority    Arrival time
        P1             7          3            0
        P2             4          1            2
        P3             1          2            4
        P4             4          4            5
     i) Draw Gantt charts for the execution of these processes using FCFS,non-preemptive and preemptive SJF, and non-preemptive Priority scheduling.
     ii) What is the Average waiting time of each process for each of the scheduling algorithm.",Operating Systems,Hard,06,Second,Unit 2
1053,"Describe the actions taken by a kernel to context switch between kernel level threads",Operating Systems,Easy,06,Second,Unit 2
1054,"Suppose the following jobs arrive for processing at the times indicated,each job willrun the listed amount of time.
        Job    arrival time    burst time
          1       0.0             9
          2       0.2             5
          3       1.2             2
    i) Give a Gantt chart illustrating the execution of these jobs using the non- preemptive FCFS and SJF scheduling algorithms.
    ii) what is turnaround time and wait time of each job for the above algorithms?",Operating Systems,Medium,06,Second,Unit 2
1055,"Describe the actions taken by a kernel to context-switch between processes.",Operating Systems,Hard,06,Second,Unit 2
1056,"Describe Process Control Block with suitable Example.",Operating Systems,Easy,06,Second,Unit 2
1057,"Determine the average waiting time and draw a Gantt Chart for following process with burst time using Shortest-Job-First scheduling algorithm.
            Process           Burst Time
              P1                   6
              P2                   8
              P3                   7
              P4                   3",Operating Systems,Medium,06,Second,Unit 2
1058,"What is thread? Differentiates between user level thread and kernel level thread.",Operating Systems,Hard,06,Second,Unit 2
1059,"What is inter- process communication in operating System? Explain its types.",Operating Systems,Easy,06,Second,Unit 2



1060,"Explain the use of Resource Allocation Graph (RAG) in deadlock detection.",Operating Systems,Easy,06,Second,Unit 3
1061,"Write a pseudocode of Swap instruction used for process synchronization.",Operating Systems,Medium,06,Second,Unit 3
1062,"Examine banker’s algorithm for following snapshot of the system, there are 3 processes, P1, P2 and P3. And 3 resource types, R1, R2 and R3. There are 12 instances of resource type R1, 11 instances of resource type R2 and 20 instances of resource type R3.
    At time T0, the situation is as follows-
    State-
       i) Contents of matrix Need.
       ii) Is the system in a safe state at T0?",Operating Systems,Hard,06,Second,Unit 3
1063,"Describe necessary conditions for a deadlock situation to arise.",Operating Systems,Easy,06,Second,Unit 3
1064,"What is critical section problem and what are the requirements that need to be satisfied by any solution to critical section problem? Give a solution to a 2 processcritical section problem.",Operating Systems,Medium,06,Second,Unit 3
1065,"Discuss the Peterson’s solution for the critical-section problem.",Operating Systems,Hard,06,Second,Unit 3
1066,"Explain the Dining Philosopher’s problem with the structure of philosophers.",Operating Systems,Easy,06,Second,Unit 3
1067,"Describe the three requirements to satisfy as a solution to critical-section problem.",Operating Systems,Medium,06,Second,Unit 3
1068,"Illustrate Peterson‘s Solution for critical section problem.",Operating Systems,Hard,06,Second,Unit 3
1069,"How the readers and writers problem can be solved using semaphore?",Operating Systems,Easy,06,Second,Unit 3


1070,"Consider the page reference string- 4, 7, 6, 1, 7, 6, 1, 2, 7, 2.
     If there is there is three-page frames, calculate page faults for following algorithms-   
    i) FIFO page replacement
    ii) LRU page replacement
    iii) Optimal page replacement",Operating Systems,Easy,06,Second,Unit 4
1071,"Explain paging mechanism with neat diagram. State the importance of offset in it.",Operating Systems,Medium,06,Second,Unit 4
1072,"Discuss the need of page replacement. Differentiate between local and global page replacement.",Operating Systems,Hard,06,Second,Unit 4
1073,"Consider a logical address space of 8 pages of 1024 words each, mapped on to a physical memory of 32 frames.
       How many bits are there in the logical address?
       How many bits are there in the physical address?",Operating Systems,Easy,06,Second,Unit 4
1074,"A process references 6 pages 1, 2, 3, 4, 5, 6 in the following order 1,2,3,4,2,1,5,6,2,1,2,3,7,6,3,2,1,2,3,6
     Assuming that the replacement algorithm is LRU, Optimal and FIFO, find out the number of page faults during the sequence of references, starting with an empty main memory with 3 frames.",Operating Systems,Medium,06,Second,Unit 4
1075,"Explain with the help of supporting diagram how TLB improves the performance of a demand paging system.",Operating Systems,Hard,06,Second,Unit 4
1076,"Given five memory partitions of 100KB, 500KB, 200KB, 300KB, and 600KB (in order), how would the first-fit, best-fit, and worst-fit algorithms place processes of 212KB, 417KB, 112KB, and 426KB (in order)? Which algorithm makes the most efficient use of memory?",Operating Systems,Easy,06,Second,Unit 4
1077,"Consider a logical address space of 64 pages of 1,024 words each, mapped onto a physical memory of 32 frames.
    a) How many bits are there in the logical address?
    b) How many bits are there in the physical address?",Operating Systems,Medium,06,Second,Unit 4
1078,"What is demand paging? Explain the steps in handling page fault using appropriate diagram.",Operating Systems,Hard,06,Second,Unit 4
1079,"Write short on:
      i. Working set model.
      ii. Fragmentation",Operating Systems,Easy,06,Second,Unit 4
1080,"Assume three frames and consider the reference page string below.
    Reference page string: 5, 7, 6, 0, 7, 1, 7, 2, 0, 1, 7, 1, 0 Determine the number of page faults using optimal and least recently used page replacement algorithm. State which algorithm is most efficient?",Operating Systems,Medium,06,Second,Unit 4


1081,"Explain the concept of file. State various file operations.",Operating Systems,Easy,06,Second,Unit 5
1082,"Discuss linked and index disk space allocation methods with neat sketch.",Operating Systems,Medium,06,Second,Unit 5
1083,"Write a note on free space management.Consider two files systems A and B, that use contiguous allocation and linked allocation, respectively. A file of size 100 blocks is already stored in A and also in B. Now, consider inserting a new block in the middle ofthe file (between 50th and 51st block), whose data is already available in the memory. Assume that there are enough free blocks at the end of the file and that the file control blocks are already in memory. Let the number of disk accesses required to insert a block in the middle of the file in A and B are nA and nB respectively, then the calculate value of nA + nB.",Operating Systems,Hard,06,Second,Unit 5
1084,"Suppose that a disk drive has 200 cylinders, numbered 0 to 199. the drive currently services a request at cylinder 50, and the previous request was at cylinder 25. the queue of pending request in FIFO order is 82,170,43,140,24,16,190 Starting from the current position, what is the total distance (in cylinders) that the disk arm moves to satisfy all pending requests, for each of the following algorithms i)FCFS ii) SSFT iii) SCAN iv)LOOK v) C-SCAN vi) C-LOOK.",Operating Systems,Medium,06,Second,Unit 5
1085,"What are the three methods for allocating disk space? Explain with help each method suitable diagram, merits and demerits.",Operating Systems,Easy,06,Second,Unit 5
1086,"Write the name of the terminology used for the boot-control block and volume-control block in Unix and NT File System.",Operating Systems,Medium,06,Second,Unit 5
1087,"Consider a file system that uses inodes to represent files. Disk blocks are 8 KB in size, and a pointer to a disk block requires 4 bytes. This file system has 12 direct disk blocks, as well as single, double, and triple indirect disk blocks. What is the maximum size of a file that can be stored in this file system?",Operating Systems,Hard,06,Second,Unit 5
1088,"Describe the following file types with respect to extension used for the file and functioning of the respective file type.
      a) Executable
      b) object
      c) batch
      d) library
      e) archive
      f) source code",Operating Systems,Medium,06,Second,Unit 5
1089,"Enlist and Explain in details the various operations performed on the file.",Operating Systems,Easy,06,Second,Unit 5
1090,"Explain the linked allocation type disk free space management.",Operating Systems,Easy,06,Second,Unit 5
1091,"Explain the contiguous and indexed file allocation methods.",Operating Systems,Medium,06,Second,Unit 5
1092,"Explain following disk scheduling techniques with its advantages ...
      i. Shortest Seek Time First
      ii. SCAN",Operating Systems,Hard,06,Second,Unit 5



1093,"Explain the different components of Central Processing Unit?",CA&O,Easy,06,Second,Unit 1
1094,"Explain different types of memories with examples?",CA&O,Medium,06,Second,Unit 1 
1095,"Explain with neat diagram computer components top- level view?",CA&O,Medium,06,Second,Unit 1
1096,"Describe the Fetch-Decode-Execute cycle in the CPU. Explain the role of each stage in the execution of the instructions cycle.",CA&O,Hard,06,Second,Unit 1
1097,"Discuss the role of buses in computer organization. Explain the different types of buses and their functions.",CA&O,Easy,06,Second,Unit 1
1098,"Discuss the concept of interrupts in computer organization.",CA&O,Medium,06,Second,Unit 1
1099,"Describe the structural overview of computer.",CA&O,Easy,06,Second,Unit 1
1100,"Define stored program concept and Explain Von Neumann's Architecture with diagram.",CA&O,Hard,06,Second,Unit 1
1101,"Discuss the role of buses in computer organization. Explain the different types of buses and their functions?State the basic fundamental units of computers and give brief explanation for each with neat diagram.",CA&O,Hard,06,Second,Unit 1
1102,"Write a short note on i)PC ii)IR iii) MAR iv) MDR",CA&O,Medium,06,Second,Unit 1
1103,"Explain in detail Instruction Fetching and Execution",CA&O,Medium,06,Second,Unit 1


1104,"Explain different types of instructions sets.",CA&O,Easy,06,Second,Unit 2 
1105,"Explain different addressing modes.",CA&O,Easy,06,Second,Unit 2 
1106,"Explain the architecture of RISC and CISC processor.",CA&O,Medium,06,Second,Unit 2
1107,"Differentiate between RISC & CISC Architecture.",CA&O,Easy,06,Second,Unit 2
1108,"Describe the concept of Addressing Modes. Give the list of addressing modes and explain-
    a) Immediate Addressing Mode
    b) Indirect Addressing Mode",CA&O,Medium,06,Second,Unit 2
1109,"Discuss the assembly language programming. How does it differ from a high-level programming language.",CA&O,Hard,06,Second,Unit 2
1110,"List assembler directives? Assuming any assembler, give the necessary directives required for any program.",CA&O,Hard,06,Second,Unit 2
1111,"Describe the concept of Addressing Modes. Give the list of addressing modes and explain-
    a) Register Indirect Addressing Mode
    b) Direct Addressing Mode",CA&O,Medium,06,Second,Unit 2
1112,"Write a short note on-
  1) RISC
  2) CISC",CA&O,Easy,06,Second,Unit 2
1113,"Explain types of Operand and Operations with suitable instruction of assembly language.",CA&O,Hard,06,Second,Unit 2


1114,"Explain the function of ALU.",CA&O,Easy,06,Second,Unit 3
1115,"Briefly explain the following representations: sign magnitude, twos complement.",CA&O,Medium,06,Second,Unit 3
1116,"What are the four essential elements of a number in floating-point notation?",CA&O,Hard,06,Second,Unit 3
1117,"Explain the floating-point representation in detail.",CA&O,Easy,06,Second,Unit 3 
1118,"Represent the decimal values 12, -10 and 15 assigned eight-bit numbersin the following binary formats-
  a) Signed magnitude
  b) 1’s Complement
  c) 2’s Complement",CA&O,Medium,06,Second,Unit 3
1119,"Subtract (11011)2 - (10011)2 using 1's complement & 2's complement method.",CA&O,Hard,06,Second,Unit 3
1120,"Convert (100.125)1e in IEEE-754 single precision floating point representation.",CA&O,Easy,06,Second,Unit 3
1121,"Sketch and explain flowchart for multiplication of floating point nurnbers.",CA&O,Mediun,06,Second,Unit 3
1122,"Explain Integer representation in detail? ",CA&O,Easy,06,Second,Unit 3
1123,"Multiply using a sequential circuit for binary multiplication i) 11 x 7 ii) 7 x 8",CA&O,Hard,06,Second,Unit 3
1124,"Write a Booth algorithm for multiplication with a suitable example.",CA&O,Hard,06,Second,Unit 3
1125,"Solve the following using Binary division restoring algorithm i) 8 / 2 ii) 11 / 5",CA&O,Hard,06,Second,Unit 3


1126,"Explain types of semiconductor memories technologies.",CA&O,Easy,06,Second,Unit 4
1127,"Explain memory hierarchy in computer system.",CA&O,Medium,06,Second,Unit 4 
1128,"Explain the working of optical memory.",CA&O,Hard,06,Second,Unit 4
1129,"Write a short note on-
   1) ROM
   2) RAID",CA&O,Easy,06,Second,Unit 4
1130,"Explain the role and function of a cache memory system. Discuss the different levels of cache memory including L1, L2 and L3 caches.",CA&O,Hard,06,Second,Unit 4
1131,"Explain the magnetic tape. Discuss the advantages and disadvantages of magnetic tape using as a storage medium.",CA&O,Easy,06,Second,Unit 4
1132,"Encode the data I l0l in even parity by using Hamming Code.",CA&O,Medium,06,Second,Unit 4
1133,"Elaborate various types of ROM: Magnetic as well as optical.",CA&O,Medium,06,Second,Unit 4
1134,"Write a short note on-
   1) RAM
   2) ROM",CA&O,Easy,06,Second,Unit 4
1135,"Explain RAID memory in detail?",CA&O,Easy,06,Second,Unit 4 
1136,"Explain the magnetic Disk. Discuss the advantages and disadvantages of magnetic disk using as a storage medium?",CA&O,Medium,06,Second,Unit 4
1137,"Explain RAM & DRAM with neat diagram.",CA&O,Hard,06,Second,Unit 4 
1138,"Write a short note i) Magnetic Disk ii) Magnetic Tape.",CA&O,Easy,06,Second,Unit 4
1139,"Explain Cache Mapping – Set associative mapping with neat diagram.",CA&O,Hard,06,Second,Unit 4


1140,"Explain Programmed I/O module and Interrupt driven I/O.",CA&O,Easy,06,Second,Unit 5 
1141,"Explain Input/output organization of computer system.",CA&O,Easy,06,Second,Unit 5 
1142,"Explain the Flynn's classification.",CA&O,Hard,06,Second,Unit 5
1143,"Explain the Microprogrammed Control Unit.",CA&O,Medium,06,Second,Unit 5
1144,"Differentiate between Interrupt driven I/O & Direct Memory Access.",CA&O,Easy,06,Second,Unit 5
1145,"Explain the Instruction pipelining & what are the benefits of it in modern processors.",CA&O,Hard,06,Second,Unit 5
1146,"Explain lnstruction Pipelining.",CA&O,Easy,06,Second,Unit 5
1147,"What is instruction pipelining, and what advantages does it offer in modern processors?",CA&O,Medium,06,Second,Unit 5
1148,"Explain the Microprogrammed Control Unit?",CA&O,Easy,06,Second,Unit 5
1149,"Differentiate between Interrupt driven I/O & Programmed I/O?",CA&O,Hard,06,Second,Unit 5
1150,"Write short note on i) I/O channels ii) Direct memory Access (DMA)",CA&O,Medium,06,Second,Unit 5
1151,"Explain Micro-instruction Sequencing.",CA&O,Easy,06,Second,Unit 5


1152,"What is Data Structure? Explain the various characteristics of an algorithm.",Data Structure,Easy,06,Second,Unit 1
1153,"What is sparse matrix? Explain the representation of it.",Data Structure,Medium,06,Second,Unit 1 
1154,"What is primitive data structure? Enlist the differences between primitive and non-primitive data structures.",Data Structure,Easy,06,Second,Unit 1
1155,"What is data structure? Why to study data structure? Enlist the five areas of computer science in which data structure is used.",Data Structure,Hard,06,Second,Unit 1
1156,"What is garbage collection? Who will run garbage collection program? When it will be run?",Data Structure,Medium,06,Second,Unit 1
1157,"Suppose multidimensional arrays A and B are declared using A (0:5. -2:7) and B (0:5, - I :4). Find the length of each dimension and the number of elements in array A and B.",Data Structure,Hard,06,Second,Unit 1
1158,"What is a data structure? Why do we need data structures? Differentiate linear and non-linear data structure.",Data Structure,Medium,06,Second,Unit 1
1159,"Explain the concept of sparse matrices.",Data Structure,Easy,06,Second,Unit 1 
1160,"Explain double hashing in data structure with its advantages and disadvantages.",Data Structure,Hard,06,Second,Unit 1

1161,"Explain various stack operations with example.",Data Structure,Easy,06,Second,Unit 2
1162,"Write Algorithms for enqueue and dequeue operations on queue with example.",Data Structure,Medium,06,Second,Unit 2
1163,"Convert the following infix expression to postfix expression. A / B ^ C +D * E – A * C",Data Structure,Hard,06,Second,Unit 2
1164,"What is circular queue? Let the following circular queue can accommodate maximum six elements with the following data, front : 2, rear: 4 and initial queue content is queue: ----, L, M, N, Show the queue content with front and rear value after the following operations.
   i) Insert A ii) Delete iii) Insert B iv) Delete",Data Structure,Hard,06,Second,Unit 2
1165,"What is singly linked list? Write algorithm to find the number of times a given ITEM occurs in the singly linked list.",Data Structure,Easy,06,Second,Unit 2
1166,"Letter keys: 46,34,42,23,52.33 are inserted into an empty hash table using function h (key): key mod 10. Give hash table content after every insertion. if open addressing with linear probing is used to deal with collision.",Data Structure,Hard,06,Second,Unit 2
1167,"What is Queue ADT? Explain representation and implementation of queue using sequential operations.",Data Structure,Easy,06,Second,Unit 2
1168,"Explain applications of stack for Expression Evaluation.",Data Structure,Medium,06,Second,Unit 2 
1169,"What is priority queue ? Explain operations of priority queue.",Data Structure,Easy,06,Second,Unit 2

1170,"What are advantages and disadvantages of linked list?",Data Structure,Easy,06,Second,Unit 3 
1171,"Write differences between array and linked list.",Data Structure,Medium,06,Second,Unit 3
1172,"Describe doubly link list (DLL) operations.",Data Structure,Easy,06,Second,Unit 3
1173,"What is selection sort? Sort the numberfollowing numbers in ascending order and also show the worst case time complexity of selection sort is O (n2).",Data Structure,Hard,06,Second,Unit 3
1174,"Consider the stack of size 6 memory cells. Suppose initially stack contains a, b, c, d, e (Top of stack). Then the following operations are executed i)Push(f) ii)Pop(Top)iii ) Push(g) iv) Push ( h ) v) Pop(to p) v i) Push( i)",Data Structure,Hard,06,Second,Unit 3
1175,"Explain how to implement two stacks in one array A[1 . . N] in such a way that neither stack overflow unless the total number of elements in both the stacks together is N. Note that, Push0 and Pop0 operations should be run in O ( 1 )time.",Data Structure,Hard,06,Second,Unit 3
1176,"Explain circular linked list data structure with its insertion and deletion operations.",Data Structure,Easy,06,Second,Unit 3
1177,"Write a C Program to implement following any two operations of doubly linked list.
      1.insertion 2.deletion 3.display 4.search",Data Structure,Medium,06,Second,Unit 3
